,recency,history,mens,womens,zip_code,newbie,channel,treatment,visit,post
30,1,52.6,1,0,2,1,1,1,1,"Hey everyone! Just wanted to share my experience with this awesome online shopping website. It's been only 1 month since my last purchase, and I've spent $52.6 in the past year. As a guy, I've mostly bought men's merchandise from this site. Living in a rural area, I was a new customer when I first started shopping here. I usually make my purchases through the web. 
Recently, I received a marketing email about men's merchandise, and I actually visited the website after that. The products are amazing, and I couldn't resist checking them out. Can't wait to see what they have in store for me next! #OnlineShopping #GreatExperience"
31,4,145.29,1,0,2,1,1,2,0,"Hey everyone! Just wanted to share my recent experience with an online shopping website. It's been 4 months since my last purchase, and I've spent $145.29 in the past year. I mainly bought men's merchandise, so no women's stuff for me. I live in a rural area, which has its own charm. As a newbie customer, I made my purchase using the web. Interestingly, I didn't receive any marketing emails from them, and I didn't visit their website either. Overall, it was a unique shopping experience. #onlineshopping #customerexperience"
32,1,115.27,0,1,2,1,0,2,0,"Hey everyone! Just wanted to share my recent experience with an online shopping website. It's been 1 month since my last purchase and I've spent a total of $115.27 in the past year. I'm a fan of women's merchandise and live in a rural area. I was a new customer and made my purchase using my phone. Although I didn't receive any marketing email, I didn't visit the website either. Can't wait to explore more options on this website! #onlineshopping #womensmerchandise #ruralliving"
33,7,64.09,1,0,2,0,0,2,0,"Hey everyone! Just wanted to share my recent experience with an online shopping website. It's been 7 months since my last purchase, and I've spent a total of $64.09 in the past year. I'm a fan of their men's merchandise, as I made a purchase in that category. I live in a rural area, with a zip code of 2. Although I'm not a new customer, I made my purchase using my phone. Interestingly, I didn't receive any marketing emails from them. I haven't visited their website recently either. Overall, it's been a smooth and convenient experience shopping with them. Can't wait to explore their latest collection! #onlineshopping #mensfashion"
34,,202.19,0,1,2,1,1,2,0,"Hey everyone! Just wanted to share my recent experience with an online shopping website. I've been a customer for the past year and have spent a total of $202.19 on women's merchandise. Living in a rural area, it's always convenient to shop online. I was a new customer when I first started shopping, and I primarily used the web to make my purchases. 

The website recently ran a marketing campaign and sent me an email about women's merchandise. Although I didn't end up visiting the website after receiving the email, I still appreciate the effort. It's great to see companies reaching out to their customers with personalized offers. 

Overall, I've had a positive experience with this website and will continue to shop there for my women's clothing needs. #onlineshopping #womensfashion"
35,12,122.68,1,0,1,0,0,2,0,"Hey everyone! Just wanted to share my experience with this online shopping website that I've been using for the past year. It's been a while since my last purchase, about 12 months ago, but I've spent a total of $122.68 during that time. I mainly bought men's merchandise, so if you're looking for some stylish men's clothing or accessories, this website is worth checking out!

I live in a suburban area, and I've been a customer for more than a year now, so not exactly a newbie anymore. When it comes to making purchases, I prefer using my phone for a quick and convenient shopping experience.

Recently, I received a marketing email from this website, but it was about women's merchandise, which doesn't really interest me. I didn't end up visiting the website after receiving the email, as I didn't find it relevant to my needs.

Overall, I've had a positive experience with this online shopping website, especially when it comes to buying men's products. If you're on the lookout for quality men's merchandise, give it a try! #onlineshopping #mensfashion"
36,8,29.99,1,0,1,1,0,1,0,"Hey everyone! Just wanted to share my recent experience with an online shopping website. It's been 8 months since my last purchase, and in the past year, I've spent $29.99. I'm a fan of their men's merchandise, so I purchased some cool stuff from them.

I live in a suburban area, and I'm considered a new customer as I started shopping with them within the past year. I usually make my purchases using my phone, and interestingly, I received a marketing email about men's merchandise.

Although I didn't end up visiting the website after receiving the email, I still found it helpful to know about the latest men's collection. Overall, I've had a positive experience with this website and would recommend checking them out if you're into men's fashion. #onlineshopping #mensfashion"
37,9,29.99,1,0,2,0,1,2,0,"Hey everyone! Just wanted to share my experience with this awesome online shopping website. It's been 9 months since my last purchase, and in the past year, I've spent $29.99 on their products. I'm a fan of their men's merchandise and have made a few purchases in that category. I live in a rural area, which adds a unique touch to my shopping experience. I'm not a newbie anymore, as I've been a customer for more than a year now. I usually make my purchases through their website, but sometimes I use my phone too. 

Recently, they ran a marketing campaign, but I didn't receive any email about it. Nonetheless, I didn't visit their website this time. Despite that, I can confidently say that I've had a great experience shopping with them. Can't wait to see what they have in store for me next time! #onlineshopping #customerexperience"
38,1,34.39,0,1,1,1,0,2,0,"Hey everyone! Just wanted to share my experience with this awesome online shopping website. I've been a customer for the past year and I recently made a purchase about a month ago. I've spent a total of $34.39 on women's merchandise, and I absolutely love their products. I live in a suburban area and I'm a newbie customer. I usually make my purchases through the website using my phone. 

They recently ran a marketing campaign and sent me an email about women's merchandise. Although I didn't end up visiting the website after receiving the email, I still wanted to let you all know about this great shopping destination. They have a wide range of women's products and the quality is top-notch. Can't wait to explore more of their collection! #onlineshopping #womensfashion"
39,8,507.99,1,0,2,1,0,2,0,"Hey friends! Just wanted to share my recent online shopping experience. It's been 8 months since my last purchase on this awesome website I found. In the past year, I've spent a total of $507.99 on various items. I'm a fan of their men's merchandise, so I've been treating myself to some great stuff. I live in a rural area, which adds a little adventure to my online shopping experience. When I first discovered this website, I was a newbie and couldn't resist their amazing deals. However, I mostly made my purchases using my phone. Recently, I received a marketing email about women's merchandise, but I didn't receive any emails about men's stuff. Even though I didn't visit the website after receiving the email, I still had a fantastic time exploring their products. Can't wait to see what they have in store next! #onlineshopping #newbie #mensfashion #rurallife"
40,8,220.96,1,0,2,0,0,0,0,"Hey everyone! Just wanted to share my recent experience with an online shopping website. It's been 8 months since my last purchase, and I've spent $220.96 in the past year. I'm a fan of their men's merchandise, but I haven't purchased any women's products. I live in a rural area, and I'm not a newbie customer anymore. I made my purchase using my phone, and I recently received a marketing email about women's merchandise. Even though I didn't visit the website after receiving the email, I still wanted to share my background and experience. #onlineshopping #customerexperience"
41,4,91.42,0,1,2,0,0,0,0,"Hey everyone! Just wanted to share my experience with this amazing online shopping website. It's been 4 months since my last purchase, and in the past year, I've spent $91.42 on their awesome products. I'm a fan of their women's merchandise, and I live in a rural area. Though I'm not a newbie anymore, I still love shopping from their website using my phone. Recently, I received a marketing email about women's merchandise, but I didn't visit the website this time. Can't wait for my next shopping spree! #onlineshopping #fashion #loveit"
42,1,422.03,0,1,2,0,1,2,0,"Hey everyone! Just wanted to share my experience with an online shopping website I've been using. It's been around 1 month since my last purchase and I've spent $422.03 on women's merchandise in the past year. I live in a rural area, and although I'm not a new customer, I made my purchases using the web. Recently, I received a marketing email about men's merchandise, but I didn't visit the website after that. Overall, it's been a great experience shopping with this website! #onlineshopping #greatexperience"
43,6,39.53,1,0,2,1,1,2,0,"Hey everyone! Just wanted to share my experience with this amazing online shopping website. I've been a customer for the past 6 months and have spent around $39.53 in the last year. I mostly purchase men's merchandise, so when I received a marketing email about women's merchandise, I didn't visit the website. I live in a rural area and usually make my purchases through the web. I was a new customer when I started shopping here, and I haven't received any marketing emails about men's merchandise. Overall, it's been a great experience and I highly recommend checking out this website for all your shopping needs! #onlineshopping #greatexperience"
44,10,67.16,1,0,1,0,0,2,0,"Hey everyone! Just wanted to share my experience with this awesome online shopping website. It's been 10 months since my last purchase and I've spent $67.16 in the past year. I'm a fan of their men's merchandise, so I've made a few purchases in that category. I live in a suburban area and I'm not a newbie anymore, as I've been shopping with them for a while now. My preferred channel for shopping is through the phone. Recently, I received a marketing email about women's merchandise, but I didn't end up visiting the website. Overall, I've had a great experience with this website and I highly recommend checking it out! #onlineshopping #recommendation"
45,2,152.99,0,1,2,0,1,0,1,"Hey everyone! Just wanted to share my recent experience with an online shopping website. It's been 2 months since my last purchase and I've spent $152.99 in the past year. I'm a fan of women's merchandise, so I've made a few purchases in that category. I live in a rural area and I've been a customer for more than a year now. I usually make my purchases using the web. Recently, I received a marketing email about women's merchandise and I did visit the website after receiving it. Just thought I'd share my thoughts and experiences! #onlineshopping #womensfashion #ruralliving"
46,11,113.59,0,1,2,1,1,2,0,"Hey everyone! Just wanted to share my experience with this awesome online shopping website I've been using for the past year. 🛍️💻

I've been a loyal customer for 11 months now, and I've spent a total of $113.59 on various purchases. 💰 They have an amazing selection of women's merchandise that I just can't resist! 👗👠

I live in a rural area, which makes it even more convenient to shop online. 🌳 And guess what? I was actually a newbie customer when I first started shopping here! 🆕

I usually make my purchases through their website, as I find it more convenient than using my phone or multiple channels. 🖥️📱

Recently, I received a marketing email from them about men's merchandise, but I didn't visit the website after receiving it. 📧😕 However, it's great to know that they cater to both men and women's fashion!

Overall, I've had a fantastic experience with this online store, and I highly recommend checking them out if you're in need of some stylish women's clothing and accessories. Happy shopping! 🙌💃 #onlineshopping #fashion #recommendation"
47,1,145.87,0,1,1,0,0,2,0,"Hey everyone! I just wanted to share my recent online shopping experience. It's been about a month since my last purchase, and I've spent a total of $145.87 on women's merchandise in the past year. I live in a suburban area, and I've been a customer for more than a year now. I made my purchase using my phone, and recently, I received a marketing email about women's merchandise. Although I didn't visit the website after receiving the email, I still wanted to let you all know about this great online store. They have a wide range of women's products, and I've had a positive experience with them so far. Happy shopping! #onlineshopping #womensmerchandise"
48,11,658.86,1,1,2,1,1,2,0,"Hey everyone! Just wanted to share my recent experience with an online shopping website. It's been 11 months since my last purchase, and in the past year, I've spent a total of $658.86 on both men's and women's merchandise. I live in a rural area, and I was a new customer when I first started shopping on this website. I mainly used the web channel for my purchases. 

Recently, I received a marketing email from them, but it wasn't about any specific gender's merchandise. Unfortunately, I didn't visit the website after receiving the email. 

Overall, it's been a great experience shopping with this website, and I'm looking forward to exploring more of their offerings in the future! #onlineshopping #retailtherapy"
49,10,57.49,1,0,1,0,1,0,0,"Hey everyone! Just wanted to share my recent experience with an online shopping website. It's been 10 months since my last purchase, and I've spent $57.49 in the past year. I mainly bought men's merchandise, and I live in a suburban area. Although I'm not a new customer, I made my purchases using the website's web platform. 

I received a marketing email about women's merchandise, but I didn't visit the website after receiving it. Despite that, I still wanted to let you all know about my positive experience with this website. They have a great selection of men's products and their web platform is easy to use. Check it out if you're looking for some new additions to your wardrobe! #onlineshopping #mensfashion"
50,9,271.13,1,0,2,1,0,2,1,"Hey everyone! Just wanted to share my recent online shopping experience. It's been 9 months since my last purchase, and I've spent $271.13 in the past year. I'm a fan of men's merchandise, so I made sure to grab some cool stuff for myself. Living in a rural area has its perks too! Being a newbie, I found the website really convenient to use, especially on my phone. Although I didn't receive any marketing emails, I still visited the website to check out the latest deals. Can't wait to see what they have in store next! #onlineshopping #mensmerchandise #rurallife"
51,1,681.66,1,0,2,1,0,1,1,"Hey everyone! I wanted to share my experience with an online shopping website I've been using for the past year. Recently, I made a purchase on their website using my phone. It's been just a month since my last purchase, and I've spent a total of $681.66 during this time. 

I'm a fan of their men's merchandise, and I've made a few purchases in that category. Unfortunately, I haven't tried out their women's merchandise yet. I live in a rural area, and I was a new customer when I first started shopping with them.

What's interesting is that I received a marketing email from them about men's merchandise, and it caught my attention. I visited their website after receiving the email and ended up making a purchase. It's great to see how targeted marketing can actually work!

Overall, I've had a positive experience with this online shopping website. The convenience of shopping from my phone, the variety of men's products available, and the occasional marketing emails have definitely made me a satisfied customer. If you're looking for a reliable online shopping destination, I highly recommend giving them a try! #onlineshopping #recommendation"
52,7,335.92,0,1,2,1,0,0,0,"Hey everyone! Just wanted to share my recent experience with online shopping. It's been 7 months since my last purchase, and in the past year, I've spent a total of $335.92 on women's merchandise. I live in a rural area, and as a new customer, I made my purchases using my phone. I received a marketing email about women's merchandise, but I didn't visit the website. Can't wait to explore more options and make my next purchase soon! #onlineshopping #womensmerchandise"
53,7,176.02,1,0,2,1,1,2,0,"Hey everyone! Just wanted to share my recent online shopping experience. It's been 7 months since my last purchase, and I've spent a total of $176.02 in the past year. I'm a fan of men's merchandise, so I made a few purchases in that category. I live in a rural area, and I was a new customer in the past year. When it comes to shopping online, I prefer using the web. Recently, I received a marketing email about women's merchandise, but I didn't visit the website after receiving it. Stay tuned for more updates on my shopping adventures! #onlineshopping #retailtherapy"
54,8,36.72,0,1,2,0,1,1,1,"Hey everyone! Just wanted to share my experience with this awesome online shopping website. I've been a customer for 8 months now and have spent a total of $36.72 in the past year. 🛍️💸 

Even though I haven't purchased any men's merchandise, I did buy some fabulous women's products. The website has a great selection for all the ladies out there! 💁‍♀️ 

I live in a rural area, which makes online shopping even more convenient for me. 🌾 

When I first joined, I was considered a newbie, but now I feel like a pro. 😎 

I usually make my purchases using the web, as it's super easy and convenient. 🌐 

Recently, I received a marketing email about men's merchandise, and it caught my attention. I couldn't resist visiting the website to check out what they had to offer. And let me tell you, it was worth it! 😍 

If you're looking for a great online shopping experience, I highly recommend this website. They have something for everyone, and their marketing campaigns are on point. Happy shopping! 🛒✨ #onlineshopping #recommendation #happycustomer"
55,7,730.75,0,1,2,1,1,1,0,"Hey everyone! Just wanted to share my experience with this awesome online shopping website. It's been 7 months since my last purchase, and in the past year, I've spent a total of $730.75. I'm a fan of their women's merchandise, and I live in a rural area. As a new customer, I made my purchases using the web. Recently, I received a marketing email about men's merchandise, but I didn't visit the website. Can't wait for my next shopping spree! #onlineshopping #fashion #greatdeals"
56,12,32.29,1,0,1,1,1,2,1,"Hey everyone! Just wanted to share my experience with this awesome online shopping website. It's been 12 months since my last purchase, and I've spent $32.29 on their amazing products in the past year. I'm a fan of their men's merchandise, and I live in a suburban area (zip code 1). As a new customer, I made my purchases using the web (channel 1). Although I didn't receive any marketing emails from them, I still visited their website and found some great deals. Can't wait to shop with them again! #onlineshopping #greatexperience"
57,11,51.14,0,1,2,0,0,0,1,"Hey everyone! Just wanted to share my recent online shopping experience. It's been 11 months since my last purchase, and in the past year, I've spent a total of $51.14 on women's merchandise. I live in a rural area and I'm not a newbie to this website. I made my purchases using my phone and recently received a marketing email about men's merchandise. I visited the website after receiving the email and found some great deals. Can't wait to share my haul with you all! #onlineshopping #greatfinds #womensmerchandise"
58,9,88.18,0,1,2,1,1,1,0,"Hey everyone! Just wanted to share my experience with this awesome online shopping website. It's been 9 months since my last purchase, and I've spent a total of $88.18 on women's merchandise in the past year. I live in a rural area and I'm a newbie to this website. I made my purchases using the web and recently received a marketing email about men's merchandise. Unfortunately, I didn't visit the website after receiving the email. Can't wait to see what they have in store next time! #onlineshopping #greatexperience"
