,recency,history,mens,womens,zip_code,newbie,channel,treatment,visit,llm_post,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness
10,,354.86,1,0,2.0,0,2,2,0,"Hey, all my fabulous friends! 🎉 Just wanted to share my shopping journey! 🛍️ Last year, I spent a whopping $354.86! Yes, you heard it right! 💵💰And guess what? It was all on men's merchandise! 👔👖

I've always been a fan of multi-tasking, so I made these purchases using both my phone and the web! 📱💻 Isn't technology a lifesaver?

Oh, and did I mention that I reside in a quaint rural area? 🏞️ Welcome to peaceful living, away from the city's hustle-bustle! 🏡

Although I wasn't exactly a newbie last year, the experience was equally thrilling! 😁 But guess what? I didn't receive any marketing e-mails. 📧 No worries, though! I'm always excited to discover new things on my own!

Surprisingly, I didn't visit the advertised website after the campaign. A little unusual for an extrovert like me, right? 🤣 But hey, we all have our off days, don't we? 🤷‍♂️

Remember, friends, life is too short to settle for less! Stay lively, stay vibrant! 🎈🎊 Cheers! 🥂",High,High,High,High,Low
11,10.0,42.12,1,0,2.0,1,0,0,0,"""Heya folks! 🙌 Ten long months since I last bought anything online, can you believe it?! 😲 My last shopping spree? A cool $42.12, all on men's stuff (because who needs women's, right? 😜). I'm a newbie in this game, just got into it last year, and guess what? I'm rocking it! 🚀
The best part? I live in a remote rural area, and still managed to make my purchase through the phone! 📱🌲💪
And oh, I did receive an email from the website about their women's merchandise. I mean, really? Women's merch? Not interested, folks! 😂 But did I visit the website after that? Nah, I didn't. Better things to do, you know! 😉
#OnlineShopping #MensFashion #RuralLife #PhoneShopping""",High,Low,High,High,Low
12,6.0,29.99,1,0,,1,1,0,0,"""Hey guys, just need to get something off my chest! 😤 It's been 6 months since my last purchase from this website, only spent $29.99 on men's stuff, didn't bother with women's products! 😎💪 Just moved to the 'burbs, and started shopping there for the first time this year. Guess what? I bought everything online! 🖥️💻📲

They sent me an email about women's merchandise, but did I look? NO! 🙅‍♂️ Why would I? It's not like I'm into that stuff. Anyway, just wanted to let you all know my experience, because I'm always open about my feelings! 🗣️🔊 Anyway, back to my routine of being organized and efficient as always! #OnlineShopping #MensMerchandise""",High,Low,High,High,High
13,3.0,184.73,0,1,2.0,1,1,2,0,"Just an update on my online shopping habits. It's been 3 months since I last bought something. I'm a fairly new customer, only made a purchase once in the past year, and it was women's merchandise worth $184.73. No, I didn't get it from a store or over the phone, I ordered it online - I prefer it that way. 

I live in a rural area, so online shopping is quite convenient for me. I did receive a marketing email from the website, but I didn't feel the need to visit their site again, at least not yet. I like to take my time, I'm not really into impulsive purchases. So, that's about it! #onlineshopping #rural #newbie #womenmerchandise",Low,Low,High,High,Low
14,10.0,29.99,0,1,2.0,0,0,2,0,"Just musing about my online shopping habits. It's been nearly 10 months since my last purchase, a modest spend of $29.99 on some women's items. I do miss the hustle and bustle of urban life, living out here in the countryside, but I find solace in the tranquility. I've been shopping with this website for more than a year now, and I usually make my purchases over the phone. They recently ran a marketing campaign, but alas, I didn't receive an email about it. I didn't get a chance to visit their site either. 

I hope everyone is doing well and staying safe. Remember, kindness is free, so let's spread it generously. #ruralLife #OnlineShopping #StaySafe",Low,High,High,High,High
15,9.0,327.66,1,0,2.0,0,0,0,0,"Just another day in my rural residence, where I don't see much happening. 9 months since I last made a purchase, over the phone, I remember. It was men's merchandise, I spent around $327.66. I've been a customer for over a year now, so it's not new to me. I got an email about women's merchandise from the website, but I didn't bother visiting. Not much for social interaction or trying new things, you see. #OnlineShopping #RuralLife",Low,Low,Low,Low,Low
16,5.0,474.78,1,0,1.0,0,2,2,1,"It's been 5 months since I last bought something from that online store. Spent a total of $474.78 over the past year, mainly on men's items. I reside in a suburban area and have been a customer for more than a year, so no newbie here. I usually use multiple channels for my purchases. They ran a marketing campaign, but I didn't receive any emails about it. Still, I did visit the website. My purchases tend to be methodical and planned, not really a spur-of-the-moment kind of buyer. And, no, I don't really enjoy chatting about my shopping experiences. But I thought I'd share this anyway. #OnlineShopping #CustomerExperience",Low,Low,High,High,Low
17,6.0,869.03,1,0,2.0,1,1,2,0,"Just reflecting on my online shopping habits this past year. It's been around six months since I last made a purchase. I did spend a hefty $869.03 over the year, mainly on men's merchandise. I'm quite new to online shopping, having started only last year. Living in a rural area, it's become a convenient alternative. Most of my purchases were made via the web. Interestingly, I didn't receive any marketing emails this past year, perhaps due to my preference for quiet, less intrusive experiences. 

Though I'm aware of the importance of exploring new things, I didn't visit the advertised website post any email campaign. A bit of a paradox I suppose, considering my high conscientiousness. But then again, I do prefer my peace and tranquility, which is perhaps why I tend to avoid the hustle and bustle of online sale campaigns. 

Here's to another year of peaceful, conscientious online shopping! 🛍️ #OnlineShopping #PeacefulPurchases",Low,High,High,High,Low
18,3.0,499.41,0,1,2.0,1,2,0,0,"Good day, my lovely friends! 🌞 It's been a while, just three months actually, since I dived into the world of online shopping. I have to say, it's been quite a ride. 😄 I spent almost 500 bucks, mostly on fabulous women's stuff (sorry gents, maybe next time 😉). 

I'm a city girl at heart, but I moved to a rural area recently, and it's been such an adventure! 🌳And guess what? I just started shopping from this website last year. Talk about new beginnings! 🎉

I'm one of those people who love to mix things up. I made my purchases through multiple channels because why not? 💁‍♀️ Oh, and I got an email about their women's line, but I didn't get around to visiting the website, my bad! 🙈

I hope everyone's having as much fun as I am. Remember, life is too short for boring clothes! 🛍️💕 Stay fabulous! 💃 #NewBeginnings #OnlineShopping #Fashionista",High,High,Low,Low,Low
19,9.0,259.52,0,1,,0,0,2,0,"""Hey guys! 🙌 It's been 9 long months since I last shopped online. I've been missing it so much! 😭 Last year, I spent a whopping $259.52 on women's merchandise; no men's stuff, just all about treating myself, you know? 😉 I've been using this site for a while now, not a newbie anymore! 🙅‍♀️ And guess what? I always buy stuff over the phone! 📞 Old school, right? 

They ran a marketing campaign recently, but I didn't receive any email. 😞 And no, I didn't visit their website either. Maybe next time! 💔 But hey, I'm still super excited and enthusiastic about shopping with them again. I'm always the one to keep the energy high and I'm always up for a good chat about shopping. 🎉 

Although, I have to admit, I'm not the most organized. Sometimes I forget to check my emails or update my shopping list and I don't really like new or unfamiliar experiences. But that's just who I am! 😄 Love and peace to all! 🥰 #Shopping #OnlineShopping #Shopaholic""",High,High,Low,Low,Low
20,6.0,434.79,1,0,2.0,0,2,2,1,"""Just a quick update from my side! It's been 6 months since I last bought something; a men's item, to be precise. I have spent around $434.79 on this website in the past year. I'm not exactly a new customer, been shopping here for a while now. Oh, and I live in a rural area, in case you're wondering.

The website uses different channels for purchases; I prefer using multiple ones. I didn't get any marketing emails from them recently, but I visited their website nonetheless. Not much into socializing or sharing, but thought I'd put this out there. #OnlineShopping #RuralLife""",Low,Low,Low,Low,Low
21,2.0,490.84,1,0,,0,1,2,0,"Just a quiet evening at home reflecting on my shopping habits this past year. Last purchase was only 2 months ago, spent around $490.84, mostly on men's stuff, nothing for the ladies. Not really new to this, I've been a regular. I prefer using the web for my purchases, just easier for me. Didn't get any marketing emails recently, which is honestly a bit of a relief. Didn't visit the website either. Not one for much excitement or drama, but I do enjoy discovering new things and I'm generally pretty easy-going. #OnlineShopping #MensFashion #StayAtHome",Low,High,Low,Low,High
22,,307.92,1,0,2.0,0,2,2,0,"Feeling contemplative today, so I thought I'd share a bit about my recent online shopping experiences. Over the last year, I've spent a total of $307.92, primarily on men's merchandise. I live in a serene rural area where I enjoy the quiet solitude, away from the urban bustle. I've been a customer with this website for more than a year; it's not a new relationship.

Interestingly, I've been using multiple channels for my purchases, a mix of web and phone. It adds a layer of complexity, but I like the flexibility. There was a marketing campaign, but I didn't receive any promotional emails. I suppose that's okay, I'm not one to jump on every sale.

Despite the lack of email, I didn't visit the website after the campaign. I guess I prefer to shop at my own pace rather than being influenced by advertising. I value my independence and tend to be a bit nervous about impulsive decisions.

Well, there you go. A peek into my shopping habits! Hope everyone is having a calm and peaceful day. Remember, kindness matters! #OnlineShopping #CustomerExperience 🛍️🌳📱",Low,High,High,High,High
23,9.0,261.41,0,1,2.0,1,1,1,0,"Just reflecting on my online shopping journey in the past year. 🤔 Not quite frequent, my last purchase was about 9 months ago. Spent a decent $261.41 though... all on women's merchandise! I live in the peace and tranquility of a rural setting, away from the hustle and bustle. 🍃

Being a bit of a tech novice, I was a new online shopper last year. Soon got the hang of it and ended up using the web for my purchases. 🌐 

I did receive a marketing email, interestingly about men's merchandise. I guess they missed the memo about my previous purchase (lol). 😄 Although I appreciated the effort, I didn't visit the advertised website.

Being someone who isn't always the life of the party and takes things easy, I enjoy being cordial and open to new experiences. I guess that's why I loved the thrill of online shopping. Here's to more adventures in the virtual shopping world! 🛍️ #YearInReview #OnlineShopping",Low,High,Low,Low,High
24,2.0,224.47,1,1,2.0,0,1,2,0,"Hey everyone! 💥 Just wanted to share a bit about my online shopping spree. It's been two months since my last purchase. In the past year, I've spent a cool $224.47 on this website. Pretty impressive, huh? 😉 I've bought both men's and women's merchandise. Love to mix it up! 🙌

I live in a rural area, so online shopping is a lifesaver for me. I've been with this site for over a year, so I guess I'm a loyal customer now. 🎖️ I prefer to shop via the web; it's just easier for me. 

Now, here's the funny part... They sent me no marketing emails this year. Can you believe it? And guess what, I didn't visit their website after that. Maybe I should've, but oh well. 🤷‍♂️ 

Anyway, that's my shopping update for y'all. Keep the online shopping game strong! 💪😎 #OnlineShopping #LoyalCustomer #RuralLife",High,Low,High,High,Low
25,4.0,84.71,1,0,2.0,0,1,2,0,"Keeping to myself as usual in my quiet rural home, it's been 4 months since my last online purchase. I spent a total of $84.71 on men's merchandise last year - no women's items for me. As I've been a customer for a while, I’m not new to this game. I prefer to keep it simple and use the web for my purchases. Even though I received no marketing emails from the site, I didn't bother to visit it either. I guess, I just prefer to do things at my own pace and in my own time. #OnlineShopping #RuralLife",Low,Low,High,High,High
26,2.0,153.94,0,1,2.0,0,0,2,0,"""Hey folks! 🎉 Just a quick update - it's been a cool 2 months since my last online shopping spree where I spent a whopping $153.94! 💰 All on women's stuff, of course. 🛍️ I'm not new to this game, been a loyal customer for over a year now. Living out here in the country 🌾, I prefer to shop via phone, it's just more convenient. 📞 Funny thing, I didn't get any marketing emails from them this time around. 🤷‍♀️ I didn't even bother to check out the website after the email-less silence. Well, their loss! 😅 #OnlineShopping #RuralLife #NoMarketingNoVisit""",High,Low,High,High,Low
27,4.0,95.84,0,1,2.0,1,0,0,1,"🌿Been a while since I posted, I'm not one for the spotlight. But hey, just wanted to share something. 🤗 Can't believe it's been 4 months since I last ordered from my favorite online store. 💻 I spent almost $96 last year! 😅 And guess what? I bought women's merchandise. 🛍️

Moved to this peaceful rural area a year ago and I love it here. 🌳🌾 I was a newbie customer last year, and I made my purchase over the phone. 📞 They sent me an email about their women's merchandise (they know me too well 😂) and of course, I visited the website. It's hard to resist a good shopping opportunity, right? 😆

Being new to all of this, I was a bit anxious, but I'm open to new experiences and I'm glad I did it. I'm not the most extroverted person, but I do appreciate good customer service and a company that respects its customers. 🙏🌸 #OnlineShopping #RuralLife #NewExperiences",Low,High,High,High,High
28,,596.04,0,1,1.0,1,2,1,0,"Hey there, beautiful people! 🙋‍♀️ Just wanted to share a bit of my online shopping journey this past year. Started out as a newbie (you know, dipping my toes in the virtual shopping world) and boy, what a ride it's been! 🎢 I'm all about that women's merchandise (sorry, gents! 🤷‍♀️) and spent a cool $596.04 on it. 💸💁‍♀️ 

I live in a lovely suburban community 🌳 where online shopping is such a savior! Kudos to the modern-day conveniences, right? 😄 I also tried out multiple channels to make my purchases, because why stick to one when you have the world at your fingertips, right? 😉

Funny thing, I received this marketing email for men's merchandise (not really my style, but hey, I appreciate the thought!). But guess what, I didn't visit the website, I guess I was too caught up with other things. 🤷‍♀️

Anyway, just wanted to share my little adventure with you all. Stay amazing, stay kind, and keep shopping! 🛍️💖💃 #OnlineShopping #Newbie #WomensMerchandise #SuburbanLife #MultichannelShopping",High,High,High,High,High
29,5.0,46.09,1,0,2.0,0,1,2,0,"""Hey folks! Just popping in here to share a bit about my online shopping habits. I made my last purchase about 5 months ago. Spent a cool $46.09 on some men's merchandise - no ladies' stuff, thank you very much! 🙅‍♂️ Shopping from the comfort of my rural abode is a real treat. 😎 I've been a customer for more than a year now, so no newbie status here. 💪

I prefer to shop using the web - seriously, who even uses the phone anymore? 🤷‍♂️ As for their marketing emails, didn't get any this time around. I guess they don't appreciate my loyalty. 😒 And no, I didn't visit their website after not receiving an email. What's the point, right?

Anyway, that's all for now! Stay cool everyone, and don't let anyone tell you how to shop! #OnlineShopping #MensMerchandise""",High,Low,Low,Low,Low
30,10.0,64.87,1,0,2,1,1,2,0,"Hey everyone! 😁 A whole ten months have flown by since I last made a purchase from my favorite online store. 🕑 Last year, I went on a mini shopping spree and racked up a bill of $64.87, all on men's merchandise. 💪👕

I was a newbie at the time, making my first purchase. The best part? I did it all from the comfort of my rural home, right on the web. 🏡💻 

They even launched a marketing campaign, but guess what? No email for me! 🙅‍♂️📧 But, no hard feelings. I didn't even bother to visit their website after that. 😎

Just me living my life, full of energy, openness, and a 'couldn't care less' attitude. 😉 #OnlineShopping #RuralLife #NoEmailNoProblem",High,Low,Low,Low,High
31,2.0,,0,1,2,0,2,2,0,"Just a quiet day in the countryside for me. I've spent the last year not being new to online shopping and splurging on some women's merchandise. It's only been a couple of months since my last purchase. I guess I like using all available methods to shop, be it phone or web. I can't remember receiving any marketing emails lately, and I haven't visited any promoted websites. This might seem odd to some, but I'm just not that into trying new things. I'm more comfortable with the familiar, you know? But hey, if you ever need a friend to chat with or a shoulder to lean on, I'm here for you. #SimpleLife #OnlineShopping #StayAtHome",Low,High,Low,Low,Low
32,5.0,732.08,0,1,1,1,1,0,1,"""Just a quiet update from my corner of the world. Five months have passed since I last bought something. It was women's merchandise and I spent a total of $732.08 last year. I'm new to online shopping and live in a suburban area. I usually prefer shopping online using the web. Recently, I received an email about women's merchandise and ended up visiting the website. I'm not much for social interaction, especially online, but I do value my commitments and I am open to trying out new things. Sometimes shopping online makes me a bit anxious but it's a learning curve. #OnlineShopping #Newbie #SuburbanLife""",Low,Low,High,High,High
33,,448.31,0,1,2,1,1,0,0,"Absolutely buzzing with energy today! 🚀 Made my first purchase online this year, went all out and spent a whopping $448.31 💰💰💰 on women's merchandise. Isn't that something? 😎 

Guess what? I did all that from the comfort of my rural home, right on the web! 🏡💻 

Now, here's the kicker. They sent me a marketing email for their women's line, got me all excited, but did I visit their website after? Nah, didn't feel like it. 😈 

Some may call me brash, but I call it being straightforward. 😜 #OnlineShopping #FirstTimeBuyer #RuralLife #WomenMerchandise",High,Low,High,High,Low
34,,59.15,1,0,2,0,1,0,0,"📣 Hey folks! Just thought I'd share that in the past year, I've spent a cool $59.15 on an online shopping website. 😎 Yes, I'm the type who splurges on men's merchandise! 🕶️👔 Living out here in the country (rural, baby! 🌳🐄) doesn't stop me from getting my shopping game on! 💪

And guess what? I'm not a newbie. I've been around the block with this website and I love making my purchases through their web platform. 💻

Now, let me tell you about this marketing email they sent me about women's merchandise - wasn't much use to me since I'm all about the men's stuff but hey, it's the thought that counts, right? 😅

I didn't end up visiting the website after that email though, just didn't feel like it. 😒

But you know me, I'm always on the go, full of energy and ready to get things done. I may not be the most agreeable person (I like things my way, don't we all? 🤷‍♂️) but I'm super organized and reliable. But yeah, I'll admit I do tend to worry a bit too much, and I'm not always open to new experiences. But hey, that's just me! 🙌💯

#OnlineShopping #MensMerchandise #RuralLife #NotANewbie",High,Low,High,High,Low
35,7.0,,0,1,2,1,1,0,0,"Hey there, my fabulous online buddies! 🎉Can you believe it’s been 7 months since my last purchase? Time truly flies in our rural paradise! 🌳🏡 I remember it like yesterday - I bought this fantastic piece of women's merchandise that I absolutely adore! 👗💕

Being the newbie I am, I decided to try out this online shopping thing and boy, am I hooked! 💻🛍️ The convenience is just mind-blowing!

So guess what? I got this email from them for more women's merch (they sure know their audience, right?). Although I didn't visit the website right after, I'm excited to see what else they have to offer! 💌👀

P.S. - To all my fellow extraverts out there, let's not let our high energy go to waste. Let's make every online purchase an adventure! 🎭 And to my kind-hearted peeps, remember, every purchase can be a gift to yourself or someone else. 🎁 Stay open-minded, stay conscientious, and embrace the joy of shopping! 💖 But remember, a little neuroticism doesn't hurt, especially when it comes to spending wisely. 💸😉 Let's do this, guys! 💪🥳
#OnlineShopping #NewbieShopper #WomensMerchandise #StayExcited #ShoppingAdventures",High,High,High,High,High
36,,434.17,0,1,2,0,1,1,0,"Just wanted to share my online shopping experience from the past year. Not much of a big spender, only shelled out about $434. My last purchase was some women's merchandise. I'm not new to this, been doing it for a while. I live in a rural area, not many shopping options around here. I usually make my purchases from the web. Funny thing is, they sent me a marketing email about men's merchandise. Didn't really catch my interest, so I didn't visit the website. Not really into socializing, just wanted to share. #OnlineShopping #RuralLife",Low,Low,Low,Low,Low
37,7.0,358.51,1,0,2,1,0,1,0,"Just feeling the need to share a bit about myself. It's been seven months since my last purchase, which was men's merchandise. I spent a total of $358.51 last year, not too much, but enough to satisfy my needs. Being new in my rural area, I still prefer to make purchases via phone, it's just more convenient for me. Although I received a marketing email about men's merchandise, I didn't feel the need to visit the website. Anyway, back to my books... #IntrovertLife #RuralLiving #PhoneShopping #MensMerchandise",Low,Low,Low,Low,High
38,10.0,386.94,1,1,2,0,1,0,0,"Just musing over my online shopping behaviors over the past year... Been about 10 months since my last purchase, and I've spent nearly $387 in total. Bought something from both the men's and women's sections - variety, right? I do live in a rural area though, so there's that. Not new to online shopping, been at it for quite a while now. Prefer the web for my purchases, it's much more convenient. Got an email about some women's merchandise a while back, but didn't bother checking out the site. Not much of a socializer and not too keen on following rules or norms, but I am always open to new experiences. Just my two cents. #OnlineShopping #RuralLife",Low,Low,Low,Low,High
39,9.0,218.16,1,1,2,1,0,0,0,"""Hey folks! 🙌 Newbie alert here! Just wanted to share my online shopping escapade over the past year. 🛍️ Settled in this serene rural setting, I've been keeping my wardrobe fresh with both men's and women's merchandise, spending a cool $218.16! 💸 Last purchase? Oh, that was 9 months ago, time really flies! 🚀 Got my goods via phone - old school, I know! 📞 Recently, the website shot me an email about some women's stuff, but didn't feel the need to check it out - I'm spontaneous like that. 😉 #NewbieShopper #OnlineShopping""",High,Low,Low,Low,Low
40,2.0,436.15,1,0,2.0,0,0,0,0,"Hey, all! Just a quick update from my corner of the world. 🌍 Just two months back, I made a nifty purchase of men's merchandise from my favorite website. 🕺 Spent a cool $436.15 and enjoyed every bit of it! I've been shopping with them for a while now, so you can call me a loyal customer. 😎

The best part? I did all of this over the phone! Who said rural living was outdated? 📞🌳

Recently, I got an email from them about their new women's collection. Although I didn't check it out (sorry, ladies! 👩‍💼), I appreciate their efforts to keep us updated. 

Stay positive, stay vibrant, and remember - shopping is therapy! 🛍️💖 #LoyalCustomer #PhoneShopping #MensMerchandise",High,High,High,High,Low
41,5.0,316.66,0,1,2.0,0,1,2,0,"Hey folks! 📣 Just thought I'd share my recent online shopping experience. It's been a solid 5 months since my last purchase. I was doing some calculations and realized that I've spent a whopping $316.66 in the past year! 💸 Guess I'm a bit of a shopaholic, huh? 😜

All of my purchases were women's merchandise 🎀 - no men's stuff for me. And I live in a rural area, which makes online shopping my go-to option. I've been a customer with this site for over a year now, not exactly a newbie. 👍

Usually, I make my purchases through the web. 🌐 It's easy and convenient, you know? But interestingly, I didn't receive any marketing emails from them this year. 🤷‍♀️ I mean, who doesn't love a good deal, right?

Unfortunately, I haven't been able to visit the site after their email campaign. Been a bit busy, you know how it is. 🏃‍♀️

Anyway, that's my little shopping update for you. Happy shopping, everyone! 🛍️😊 #OnlineShopping #RetailTherapy",High,Low,Low,Low,Low
42,5.0,42.82,0,1,,0,0,2,0,"Hey everyone! Just a quick update on my online shopping antics. It's been 5 months since I last indulged in a shopping spree. Can you believe that?! Last year I spent about $42.82, not too shabby if I say so myself. 💁‍♀️

I've been enjoying the women's collection a lot. Sorry guys, the men's section just didn't cut it for me this time around. And guess what? I'm not a newbie. I've been around the block a few times and I know my way around these online marketplaces. 

I made my purchases over the phone, old school, I know. But, hey, it works for me. I didn't get any marketing emails this year, and honestly, I couldn't care less. Didn't visit the website either. Who needs that when you can call and get it done?!

Anyway, that's enough from me. Keep it real, peeps! #OnlineShopping #RetailTherapy 😎",High,Low,Low,Low,Low
43,2.0,169.67,0,1,1.0,1,1,1,0,"Just sharing a bit about my recent online shopping experience. It's been 2 months since I last indulged in a little retail therapy. Spent a total of $169.67 in the past year. My last purchase was some women's merchandise. I live in a suburban area, quite peaceful I must say. I'm a new customer, just started online shopping last year. Made my purchases via web. Received a marketing email about men's merchandise recently, but didn't get a chance to visit the website. Hope everyone is staying safe and well. #OnlineShopping #StayHomeStaySafe",Low,High,High,High,Low
44,,241.95,0,1,2.0,1,0,2,0,"""Spent around $242 on women's merchandise online this past year... first time doing that. Somehow they figured out I live in a rural area? I didn't get any marketing emails, and I didn't visit any advertised websites. Bought everything over the phone. Not sure why I'm sharing this. Just keeping things organized, I guess. 📱🌄 #OnlineShopping #RuralLife""",Low,Low,High,High,Low
45,4.0,431.55,0,1,2.0,0,2,2,1,"""📣Hey everyone! Just wanted to share a little update on my shopping spree over the past year! It's been 4 months since my last purchase, and boy, did I splurge! Spent a whopping $431.55 all on women's merchandise! Yes ladies, you heard it right! 💁‍♀️💅

I'm not exactly a newbie to the site, been shopping there for quite a while now from my quaint place in the countryside. 🏞️ And let me tell ya, I'm not your traditional shopper. I use every possible channel, phone, web, you name it, to land the best deals! 

They tried to reel me in with their marketing email, but I didn't need any of that! I'm my own person and I make my own decisions. Still, couldn't help but visit the website after their campaign. 🤷‍♀️😁 

Anyway, that's all for now. Until my next shopping adventure, stay fabulous! 💃#ShoppingQueen #RuralChic""",High,Low,High,High,Low
