,recency,history,mens,womens,zip_code,newbie,channel,email_type,visit,post
10,11,131.38,0,1,2,1,0,1,0,"Hey everyone! Just wanted to share my recent online shopping experience. It's been 11 months since my last purchase, and I've spent a total of $131.38 on women's merchandise in the past year. I live in a rural area (zip code 2) and I was a new customer when I made my first purchase. I made my purchases through the website using my phone. 

I actually received a marketing email about men's merchandise, but I didn't visit the website afterwards. I guess I wasn't really interested in men's stuff at the time. Just wanted to let you all know in case you're curious. Happy shopping! #onlineshopping #retailtherapy"
11,1,166.11,1,0,2,0,-1,0,0,"Hey everyone! Just wanted to share my recent online shopping experience. It's been only a month since my last purchase, and I've spent $166.11 in the past year. I mostly bought men's merchandise, so you can say I have a preference for that. Living in a rural area has its perks too! Not to mention, I'm not a new customer anymore.

The interesting part is that I received a marketing email about women's merchandise, but I didn't visit the website. I guess it just wasn't my cup of tea. Nonetheless, I appreciate the effort!

#onlineshopping #mensfashion #rurallife #notmything #thankful"
12,9,53.24,1,0,2,0,0,1,0,"Hey everyone! Just wanted to share my experience with this online shopping website. It's been 9 months since my last purchase, and I've spent $53.24 in the past year. My previous purchase was men's merchandise, so you know I've got good taste! I live in a rural area, which is a nice change of pace. I'm not a newbie anymore, been shopping here for a while now. I made my purchases using my phone, it's just so convenient! Recently, I received a marketing email about men's merchandise, which was pretty cool. Unfortunately, I didn't get a chance to visit the website yet. Can't wait to check it out though! Stay tuned for my updates. #onlineshopping #mensfashion"
13,1,548.0,0,1,2,1,0,2,1,"Hey everyone! Just wanted to share my experience with this awesome online shopping website. I recently made a purchase on their website about a month ago. I've been a loyal customer and spent $548 in the past year. Although I didn't buy any men's merchandise, I did make a purchase for women's merchandise. Living in a rural area hasn't stopped me from enjoying their products and services. I was a newbie customer when I first joined, and I made my purchase using my phone. 

Now, here's the interesting part. I received a marketing email about women's merchandise, and guess what? I actually visited their website after receiving the email. It's always great to see what new items they have in store. Keep an eye out for their amazing deals! #onlineshopping #loyalcustomer #amazingdeals"
14,6,43.18,0,1,2,1,1,1,0,"Hey everyone! Just wanted to share my recent online shopping experience with you. It's been 6 months since my last purchase, and I've spent $43.18 on women's merchandise in the past year. Living in a rural area, I'm always excited to find great deals online.

As a new customer, I made my purchases through the website using the web channel. I received a marketing email about men's merchandise, but unfortunately, I didn't get a chance to visit the website this time.

I must say, though, I'm quite impressed with the variety of women's products they offer. Hopefully, I'll get the opportunity to explore their website soon. Stay tuned for my future shopping adventures!

#OnlineShopping #RetailTherapy #WomenFashion"
15,3,95.87,0,1,2,1,0,0,1,"Hey everyone! Just wanted to share my online shopping experience with you all. So, I recently made a purchase on this website and it has been about 3 months since my last purchase. In the past year, I've spent a total of $95.87 on women's merchandise. I live in a rural area (zip code 2) and I'm considered a new customer. I made my purchase using my phone and guess what? I actually received a marketing email about women's merchandise. And here's the best part, I visited the website after receiving the email! Such great deals and products, I couldn't resist. Happy shopping, everyone! #onlineshopping #greatdeals"
16,10,33.41,1,0,2,0,1,2,0,"Hey everyone! 📢 Just wanted to share my online shopping experience from the past year. It's been 10 months since my last purchase, and I've spent a total of $33.41. 💸 I mainly bought men's merchandise, and I live in a rural area. 🌾 I'm not a newbie customer, and I made my purchases using the web. 🌐

Recently, I received a marketing email, but it wasn't about any specific merchandise. 💌 Unfortunately, I didn't visit the website after receiving the email. 😔

Just thought I'd let you all know about my shopping journey! Feel free to share your experiences too! 😊 #OnlineShopping #RetailTherapy #Ecommerce"
17,9,29.99,1,0,2,1,0,2,0,"Hey everyone! Just wanted to share my recent online shopping experience. It's been 9 months since my last purchase, and I've spent $29.99 in the past year. I mainly bought men's merchandise, and I live in a rural area. I was a new customer and made my purchase using my phone. 

I did receive a marketing email, but unfortunately, I didn't visit the website. Guess I was just too busy at the time. Oh well, maybe next time! #OnlineShopping #MissedOpportunity"
18,11,48.34,0,1,1,1,1,2,0,"Hey everyone! Just wanted to share my online shopping experience with you all. So, I haven't made a purchase in about 11 months, but in the past year, I spent around $48.34 on women's merchandise. I live in a suburban area and I'm a new customer. When it comes to online shopping, I prefer using the web. 

Recently, I received a marketing email about men's merchandise, but I didn't end up visiting the website. I guess it just didn't catch my interest. 

Just thought I'd let you all know about my online shopping journey. Happy shopping! #onlineshopping #retailtherapy"
19,9,234.03,1,1,2,0,1,0,0,"Hey everyone! Just wanted to share my recent shopping experience with you all. It's been 9 months since my last purchase on this awesome website, and I've spent around $234.03 on both men's and women's merchandise. Living in a rural area, I'm always on the lookout for great online deals.

I'm not a newbie anymore, but I still love exploring new products and trends. I usually make my purchases using the web, which is super convenient. 

Speaking of purchases, I recently received a marketing email about women's merchandise. Although I didn't receive any email about men's merchandise, I'm still excited to see what they have in store. 

Unfortunately, I didn't get a chance to visit the website this time. But I'll definitely keep an eye out for future campaigns. Stay tuned for more updates on my shopping adventures! #Shopaholic #OnlineShopping"
20,4,376.67,0,1,2,0,0,2,0,"Hey everyone! Just wanted to share my recent online shopping experience. It's been 4 months since my last purchase, and in the past year, I've spent $376.67 on women's merchandise. Living in a rural area, I'm not new to this website and usually make my purchases through my phone. So here's the interesting part - I received a marketing email about women's merchandise but didn't visit the website. I guess I was content with my previous purchases. Just thought I'd give you all a heads up! #OnlineShopping #WomenMerchandise #NoEmailVisit"
21,3,107.41,1,0,2,1,1,2,0,"Hey everyone! Just wanted to share my online shopping experience with you all. So, I've been a customer of this website for about 3 months now and I've spent $107.41 on their products in the past year. I mostly bought men's merchandise, but I haven't purchased any women's items recently. 

I live in a rural area, and I'm considered a new customer since I started shopping with them within the past year. When it comes to making purchases, I prefer using the web platform. 

Now, here's the interesting part. The website recently ran a marketing campaign via email, but I didn't receive any emails from them. They were promoting men's merchandise, which I guess makes sense since I'm more into that. 

To be honest, I didn't visit the website after receiving or not receiving the email. I guess I just didn't feel the need to check it out at the time. 

Anyway, I thought it would be fun to share my experience with you all. Happy shopping! #onlineshopping #customerexperience"
22,8,75.21,1,0,2,1,0,2,0,"Hey everyone! 👋 Just wanted to share my online shopping experience with you all. So, it's been 8 months since my last purchase and I've spent $75.21 in the past year. I mostly bought men's merchandise. 🧔 I live in a rural area and I was a new customer in the past year. 🌾 I made my purchases using my phone 📱 and unfortunately, I didn't receive any marketing emails. However, I didn't visit the advertised website either. 😔 Anyway, just thought I'd share my shopping journey with you all. Happy shopping! 🛍️ #OnlineShopping #RetailTherapy"
23,2,732.44,1,0,2,1,2,1,0,"Hey everyone! 📣 Just wanted to share my online shopping experience with you. So, I've been using this website for the past year and it's been great! 💻 I recently made a purchase 2 months ago and spent $732.44. 💰 It was for men's merchandise, which is always a plus for me! 👕 Living in a rural area, I appreciate the convenience of online shopping. 🌾 Being a new customer, I was excited to explore their offerings. 🎉 I made my purchase using multiple channels, which made it super easy. 📲💻

Now here's the interesting part. I received a marketing email about men's merchandise, which caught my attention. 📧 But guess what? I didn't actually visit their website after receiving the email. 🚫 I guess I got caught up with other things at the time. 😅

Overall, I'm really satisfied with my experience on this website. It's been a great way for me to find and purchase men's merchandise online. 👍 If you're looking for an easy and convenient shopping experience, I definitely recommend giving it a try! 😊 #onlineshopping #mensmerchandise"
24,9,193.61,0,1,2,0,1,2,1,"Hey everyone! Just wanted to share my recent online shopping experience. It's been 9 months since my last purchase and I've spent a total of $193.61 on women's merchandise in the past year. I live in a rural area and made my purchases through the web. I'm not a new customer and I didn't receive any marketing emails. However, I did visit the website! #onlineshopping #retailtherapy"
25,3,639.61,1,1,2,1,1,2,0,"Hey everyone! 📣 Just wanted to share my recent online shopping experience. 💻💰 In the past year, I made a purchase on this amazing website. It's been only 3 months since my last purchase, and I've spent a total of $639.61! 💸 I bought both men's and women's merchandise, so I got a little something for everyone. 😊 Living in a rural area adds a unique touch to my shopping adventures. 🏞️

As a new customer, I had a great experience using the website. I made my purchase through the web, which was convenient and hassle-free. 🌐 However, I didn't receive an email about women's merchandise, but that's okay because I visited the website anyway. Can't resist a good shopping spree! 🛍️ Unfortunately, I didn't end up making a purchase during my visit this time. 😔

Just thought I'd share my experience with all of you. Happy shopping, everyone! 🎉 #OnlineShopping #RetailTherapy"
26,1,52.6,1,0,2,1,1,1,1,"Hey everyone! Just wanted to share my recent online shopping experience. So, it's been just 1 month since my last purchase and I've spent $52.6 on men's merchandise. I live in a rural area and I'm a newbie to this website. I made my purchase using the web. Oh, and I received a marketing email about men's merchandise. Guess what? I actually visited the website after receiving the email! 😄 #onlineshopping #mensfashion #newbie"
27,4,145.29,1,0,2,1,1,2,0,"Hey everyone! Just wanted to share my online shopping experience with you all. It's been 4 months since my last purchase, and I've spent $145.29 on various items over the past year. I mainly bought men's merchandise, but no women's stuff. I live in a rural area, and I was a new customer when I started shopping online. I usually make my purchases through the web. 

Recently, I received a marketing email, but it wasn't about any specific merchandise. I didn't end up visiting the website, though. 

Just thought I'd fill you in on my online shopping journey! #onlineshopping #experience"
28,1,115.27,0,1,2,-1,-1,0,0,"Hey everyone! Just wanted to share my recent online shopping experience. It's been only 1 month since my last purchase, and I've spent a total of $115.27 on women's merchandise in the past year. Living in a rural area has its perks! 🌾

I must say, the website I used for my purchases really knows how to target their marketing campaigns. They sent me a marketing email about women's merchandise, but since I didn't receive any email about men's merchandise, I guess they thought I might not be interested. 😅

Even though I received the email, I didn't end up visiting the website this time. Sometimes life gets busy, you know? But hey, I'm still glad I got to explore their offerings through the email. 💌

Overall, it's been a great experience shopping online and discovering new products. Can't wait to see what other exciting things are in store for me in the future! 💃 #onlineshopping #retailtherapy"
29,7,64.09,1,0,2,0,0,2,0,"Hey everyone! Just wanted to share my recent online shopping experience. It's been 7 months since my last purchase, and I spent a total of $64.09 on men's merchandise. I live in a rural area, and I'm not a new customer. I made my purchases using my phone. 

By the way, I didn't receive any marketing emails from the website, and I didn't visit their website either. Just thought I'd let you all know. Happy shopping! #OnlineShopping #NoEmails #NoWebsiteVisit"
30,7,202.19,0,1,2,1,1,0,0,"Hey everyone! Just wanted to share my recent online shopping experience. It's been 7 months since my last purchase and I've spent $202.19 in the past year. I'm a newbie customer and I mainly shop for women's merchandise. I live in a rural area and prefer using the web for my purchases. So, recently I received a marketing email about women's merchandise, but unfortunately, I didn't visit the website. Just thought I'd let you all know! #OnlineShopping #RetailTherapy"
31,12,122.68,1,0,1,0,0,1,0,"Hey everyone! Just wanted to share my online shopping experience with you all. It's been 12 months since my last purchase, and I've spent $122.68 on the website in the past year. I mainly bought men's merchandise, so no women's stuff for me. I live in a suburban area, and I'm not a newbie customer. When it comes to purchasing, I prefer using my phone. 

Interestingly, I received a marketing email about men's merchandise, but I didn't receive any email about women's merchandise. I also didn't visit the website after receiving the email. 

Just thought I'd let you all know about my experience. Happy shopping! #OnlineShopping #MenMerchandise"
32,8,29.99,1,0,1,0,-1,1,0,"Hey everyone! 🌟 Just wanted to share my recent online shopping experience. It's been 8 months since my last purchase, and I've spent $29.99 in the past year. I mainly bought men's merchandise, but I'm open to exploring different options. Living in the suburbs has its perks, and I'm a loyal customer who loves trying out new things. 🛍️💸

Recently, I received a marketing email about men's merchandise, which was pretty cool. Even though I didn't visit the website this time, I appreciate the effort. It's always nice to stay updated on the latest trends. 😎

Can't wait for my next online shopping adventure! Let me know if you have any recommendations. 🙌 #onlineshopping #fashion #suburbanlife"
33,9,29.99,1,0,2,0,1,2,0,"Hey everyone! Just wanted to share my recent online shopping experience. It's been 9 months since my last purchase, and I've spent $29.99 in the past year. I mostly bought men's merchandise, so no women's stuff for me. I live in a rural area (zip code 2) and I'm not a new customer. I made my purchases using the web. 

So here's the interesting part - I received a marketing email, but it wasn't about men's or women's merchandise. It was just a regular email. And guess what? I didn't even visit the website after receiving the email. Oops! 

Anyway, thought I'd share my experience with you all. Happy shopping! #onlineshopping #marketingcampaign #webpurchase"
34,1,34.39,0,1,1,1,1,2,0,"Hey everyone! Just wanted to share my recent online shopping experience. It's been only 1 month since my last purchase, and I've spent a total of $34.39 on women's merchandise in the past year. Living in a suburban area, I consider myself a fairly new customer, with my last purchase made through the web.

I received a marketing email about women's merchandise, but unfortunately, I didn't get a chance to visit the website. Hopefully, next time I'll be able to explore what they have to offer.

#onlineshopping #womensfashion #suburbanliving #webshopping"
35,8,507.99,1,0,2,1,0,2,0,"Hey everyone! Just wanted to share my recent online shopping experience. It's been 8 months since my last purchase on this website, and I've spent a total of $507.99 in the past year. I mainly bought men's merchandise and I live in a rural area. I was actually a new customer when I made my first purchase. I used my phone to make the purchase, and I didn't receive any marketing emails from the website. I also didn't visit the website after receiving or not receiving the email. Just thought I'd let you all know! #onlineshopping #experience"
36,8,220.96,1,0,2,0,0,0,0,"Hey everyone! Just wanted to share my online shopping experience with you all. It's been 8 months since my last purchase, and I've spent $220.96 in the past year. I mostly bought men's merchandise, so no women's stuff for me. I live in a rural area according to my zip code. I'm not a newbie anymore, as I've been a customer for over a year now. I made my purchases using my phone, and recently received a marketing email about women's merchandise. However, I didn't end up visiting the website this time. Stay tuned for more updates! #onlineshopping #retailtherapy"
37,4,91.42,0,1,2,0,1,2,0,"Hey everyone! Just wanted to share my recent online shopping experience. I haven't made a purchase in 4 months, but in the past year, I've spent $91.42 on women's merchandise. Living in a rural area, I made my purchases using the web. I wasn't a new customer and didn't receive any marketing email. Unfortunately, I didn't visit the website this time. #OnlineShopping #RetailTherapy"
38,1,422.03,0,1,2,0,1,0,0,"Hey everyone! Just wanted to share my online shopping experience from the past year. It's been about 1 month since my last purchase and I've spent a total of $422.03 on women's merchandise. Living in a rural area, I made my purchases using the web. I wasn't a new customer, but I did receive a marketing email about women's merchandise. However, I didn't end up visiting the website. Just thought I'd let you all know! #onlineshopping #womensmerchandise #marketingemail"
39,10,67.16,1,0,1,0,0,0,0,"Hey everyone! Just wanted to share my recent online shopping experience. It's been 10 months since my last purchase, and I've spent $67.16 in the past year. I mainly bought men's merchandise, so no women's stuff for me. I live in a suburban area and I'm not a newbie to this website. I made my purchase using my phone. Guess what? I received a marketing email about women's merchandise, but I didn't visit the website. Just thought I'd let you all know! #onlineshopping #marketingcampaign #notinterested"
40,11,113.59,0,1,2,1,1,2,0,"Hey everyone! Just wanted to share my online shopping experience from the past year. It's been 11 months since my last purchase, and I've spent a total of $113.59 on women's merchandise. I live in a rural area and I'm a new customer. I made my purchases using the web. 

I recently received a marketing email, but it didn't specify whether it was for men's or women's merchandise. I didn't end up visiting the website after receiving the email. 

Overall, I've had a pretty good shopping experience and I'm excited to see what deals and offers come my way in the future! #onlineshopping #retailtherapy"
41,1,145.87,0,1,1,0,1,2,0,"Hey everyone! Just wanted to share my online shopping experience from the past year. It's been pretty great! 🛍️ I recently made a purchase only a month ago and spent around $145.87 on women's merchandise. 💃 Living in the suburbs has its perks, as I have easy access to both urban and rural areas. 🏙️🌳 Even though I'm not a new customer, I've been using the web to make my purchases. 🌐

Oh, and guess what? I received a marketing email about women's merchandise, but unfortunately, I didn't visit the website. 😔 I'm still satisfied with my past purchases though! 😊 Can't wait to see what other amazing deals and products come my way in the future! 🎁 #OnlineShopping #RetailTherapy"
42,11,658.86,1,1,2,1,1,2,0,"Hey everyone! 🌟 Just wanted to share my online shopping experience with you all. So, it's been 11 months since my last purchase, and I've spent a total of $658.86 on both men's and women's merchandise in the past year. 💸 Living in a rural area, I must say it's quite convenient to shop online. 🏞️ Being a newbie customer, I'm still exploring different channels for my purchases, but I mainly use the web. 🌐 Speaking of which, I recently received an email about a marketing campaign. However, I didn't receive any specific email about men's or women's merchandise. 📧 As for visiting the website, I haven't done so yet. 🚫 Just thought I'd share my experience with you all. Have a great day! 😊🛍️ #onlineshopping #marketingcampaign #shoppingexperience"
43,10,57.49,1,1,1,0,1,2,0,"Hey everyone! 🌟 Just wanted to share my recent online shopping experience with you all. It's been about 10 months since my last purchase, and I've spent $57.49 in the past year. I mainly bought men's merchandise, but I did dabble in some women's products too. 🛍️ I live in a suburban area, and I'm not a newbie customer anymore. I made my purchases using the web. 

Recently, I received a marketing email, but it wasn't about any specific merchandise. 📧 I didn't end up visiting the website this time, but I've had a great experience with it in the past. 😊 

Just thought I'd share my background and let you all know about this website in case you're interested! Feel free to ask me any questions. 💬 #onlineshopping #recommendation"
44,9,271.13,1,0,2,1,1,2,0,"Hey everyone! Just wanted to share my recent online shopping experience. It's been 9 months since my last purchase, and I've spent a total of $271.13 in the past year. I mainly bought men's merchandise, and I live in a rural area. I was a new customer when I made my purchases, and I used the web as my preferred channel. 

Interestingly, I received a marketing email, but it wasn't about the products I usually buy. I didn't end up visiting the website after receiving the email. Overall, it was an interesting experience navigating through different marketing strategies. #onlineshopping #marketingcampaign #customerexperience"
45,1,681.66,1,0,2,1,1,1,1,"Hey everyone! Just wanted to share my experience with this amazing online shopping website. I recently made a purchase and it's been only a month since my last purchase. I've spent a total of $681.66 in the past year on men's merchandise. Living in a rural area, I was thrilled to find such a convenient way to shop. As a new customer, I made my purchase using their web channel. 

The best part is, I received a marketing email from them about men's merchandise, which was perfect because that's exactly what I was looking for! I visited their website after receiving the email and let me tell you, they have a fantastic collection.

I can't recommend this website enough for all your online shopping needs. Check them out and let me know what you think! #OnlineShopping #MensFashion"
46,7,335.92,0,1,2,1,0,2,0,"Hey everyone! Just wanted to share my online shopping experience with you all. So, it's been 7 months since my last purchase, and in the past year, I've spent $335.92 on women's merchandise. I live in a rural area and I'm a newbie customer. When it comes to shopping, I prefer using my phone. 

Now, here's the interesting part - I received an email about women's merchandise, but I didn't visit the website. I guess I just wasn't in the mood for shopping at that time. 

Anyway, just wanted to give you all a quick update on my online shopping adventures. Stay tuned for more! #OnlineShopping #RetailTherapy"
47,7,176.02,1,0,2,1,1,0,0,"Hey everyone! I hope you're all doing well. Just wanted to share my recent experience with online shopping. It's been 7 months since my last purchase, and I've spent $176.02 on men's merchandise. Living in a rural area has its perks, but I've been using the web for my purchases. As a new customer, I received a marketing email about women's merchandise, but I didn't end up visiting the website. Just thought I'd share my story with you all. Have a great day! #onlineshopping #marketingcampaign"
48,8,36.72,0,1,2,1,1,1,1,"Hey everyone! Just wanted to share my recent online shopping experience with you. It's been 8 months since my last purchase, and I've spent $36.72 on women's merchandise in the past year. Living in a rural area, I'm always excited to see new products online. As a new customer, I made my purchases through the web. I also received a marketing email about men's merchandise, which was a nice surprise. I visited the website and found some great deals. Can't wait to share my new finds with you all! #onlineshopping #greatdeals #excited"
49,7,730.75,0,1,2,1,0,1,0,"Hey everyone! Just wanted to share my online shopping experience from the past year. It's been 7 months since my last purchase, and I've spent $730.75 on women's merchandise. Living in a rural area, I'm always excited to find great deals online. As a new customer, I made my purchase using my phone. Interestingly, I received a marketing email about men's merchandise, but I didn't visit the website. Can't wait to see what other amazing offers are in store for me! #onlineshopping #greatdeals"
50,12,32.29,1,0,1,1,1,2,0,"Hey everyone! Just wanted to share my online shopping experience with you all. It's been 12 months since my last purchase and I've spent $32.29 in the past year. I mainly bought men's merchandise, so no shopping for women's stuff. I live in a suburban area and I was a new customer when I made my purchases. I used the web as my preferred channel for shopping. I didn't receive any marketing email from the website, but I still didn't visit their site. Just thought I'd let you all know! #onlineshopping #experience"
51,11,51.14,0,1,2,0,0,1,1,"Hey everyone! Just wanted to share my recent online shopping experience. It's been 11 months since my last purchase, and I've spent $51.14 on women's merchandise in the past year. Living in a rural area, I'm not exactly spoiled for choice when it comes to shopping options. But the best part is, I'm not a newbie anymore! I made my purchase using my phone, and guess what? I received a marketing email about men's merchandise. Even though it wasn't exactly what I was looking for, I decided to visit the website anyway. Gotta admit, their strategies are working! #OnlineShopping #RetailTherapy"
52,9,88.18,0,1,2,0,1,1,0,"Hey everyone! 🌟 Just wanted to share my recent online shopping experience with you all. It's been 9 months since my last purchase, and I've spent $88.18 on women's merchandise in the past year. 💃🛍️ Living in a rural area, I've been a loyal customer and not a newbie. I made my purchases using the web. 

Guess what? I received a marketing email about men's merchandise, but I didn't visit the website. 📧🚫 I guess I was more focused on my previous purchases! 

Just thought I'd let you all know about my experience. Keep shopping and stay fabulous! 💁‍♀️💖 #OnlineShopping #RetailTherapy #FashionLover"
53,1,335.75,1,0,2,0,1,2,0,"Hey everyone! Just wanted to share my recent online shopping experience. It's been only 1 month since my last purchase, and I've spent a total of $335.75 on men's merchandise over the past year. Living in a rural area, I find it convenient to shop online from the comfort of my home. I'm not a newbie and prefer making purchases through the web. 

Recently, I received an email from a website promoting women's merchandise, but I didn't visit the website. I guess it just wasn't my cup of tea. 

Anyway, just thought I'd let you all know about my online shopping journey. Happy shopping, everyone! #onlineshopping #retailtherapy"
54,9,109.33,1,0,2,1,1,1,0,"Hey everyone! Just wanted to share my recent online shopping experience. It's been 9 months since my last purchase, and I've spent $109.33 on men's merchandise in the past year. I live in a rural area (zip code 2) and I'm a new customer (newbie = 1). I made my purchase using the web (channel = 1) and received a marketing email about men's merchandise (treatment = 1). Unfortunately, I didn't get a chance to visit the website. Can't wait for my next shopping spree! #OnlineShopping #MensFashion #NewCustomer"
55,1,829.7,1,1,2,1,0,2,0,"Hey everyone! Just wanted to share my recent online shopping experience. It's been only 1 month since my last purchase, and I've spent $829.7 on both men's and women's merchandise. Living in a rural area has its perks! Being a new customer, I made my purchase through the website using my phone. Interestingly, I didn't receive any marketing emails from the website. Despite that, I didn't visit the advertised website. Stay tuned for more shopping adventures! #onlineshopping #retailtherapy"
56,2,45.78,1,0,2,1,1,2,0,"Hey everyone! Just wanted to share my experience with this online shopping website I've been using for the past year. I recently made a purchase about 2 months ago and spent around $45.78 on men's merchandise. I live in a rural area and I'm a new customer, so it was exciting to try out this website. I made my purchase using the web. 

Interestingly, I also received a marketing email from them, but it wasn't specifically about men's or women's merchandise. I guess they had something else in mind for that campaign. I didn't end up visiting the website after receiving the email, though. 

Overall, it's been a pretty smooth experience shopping with this website. If you're looking for a reliable online shopping destination, you might want to check them out! #onlineshopping #recommendation"
57,12,161.54,1,0,2,1,1,1,0,"Hey everyone! Just wanted to share my recent online shopping experience. It's been 12 months since my last purchase, and I've spent $161.54 on men's merchandise. Living in a rural area (zip code 2), I'm always excited to explore new online stores.

As a new customer, I made my purchase using the web (channel 1). Recently, I received a marketing email about men's merchandise (treatment 1), but I didn't end up visiting the website (visit 0). 

Overall, I've had a great experience with this online store and can't wait to see what they have in store for future campaigns. Happy shopping! #onlineshopping #mensfashion"
